Country,Year,Health Expenditure,Life Expectancy,GDP Per Capita,LOCATION
Belgium,1999,2011.684,77.7,58925.223286,BEL
Belgium,2000,2298.186,77.9,58925.223286,BEL
Belgium,2001,2404.214,78.1,58925.223286,BEL
Belgium,2002,2644.145,78.2,58925.223286,BEL
Belgium,2003,2902.776,78.3,58925.223286,BEL
Belgium,2004,3086.204,79.0,58925.223286,BEL
Belgium,2005,3104.173,79.1,58925.223286,BEL
Belgium,2006,3195.361,79.5,58925.223286,BEL
Belgium,2007,3307.577,79.9,58925.223286,BEL
Belgium,2008,3545.086,79.8,58925.223286,BEL
Belgium,2009,3711.279,80.2,58925.223286,BEL
Belgium,2010,3908.473,80.3,58925.223286,BEL
Belgium,2011,4053.883,80.7,58925.223286,BEL
Belgium,2012,4233.076,80.5,58925.223286,BEL
Belgium,2013,4430.729,80.7,58925.223286,BEL
Belgium,2014,4580.064,81.4,58925.223286,BEL
Belgium,2015,4807.4,81.1,58925.223286,BEL
Belgium,2016,4998.998,81.5,58925.223286,BEL
Belgium,2017,5121.186,81.6,58925.223286,BEL
Belgium,2018,5315.194,81.7,58925.223286,BEL
Belgium,2019,5352.871,82.1,58925.223286,BEL
Belgium,2020,5274.091,80.8,58925.223286,BEL
Canada,1980,791.812,75.1,52021.596768,CAN
Canada,1981,898.807,75.5,52021.596768,CAN
Canada,1982,996.086,75.7,52021.596768,CAN
Canada,1983,1066.746,76.1,52021.596768,CAN
Canada,1984,1135.02,76.4,52021.596768,CAN
Canada,1985,1212.85,76.4,52021.596768,CAN
Canada,1986,1278.816,76.5,52021.596768,CAN
Canada,1987,1357.453,76.8,52021.596768,CAN
Canada,1988,1461.3,76.9,52021.596768,CAN
Canada,1989,1579.543,77.2,52021.596768,CAN
Canada,1990,1699.774,77.5,52021.596768,CAN
Canada,1991,1805.209,77.7,52021.596768,CAN
Canada,1992,1897.456,77.9,52021.596768,CAN
Canada,1993,1930.889,77.8,52021.596768,CAN
Canada,1994,1962.196,78.0,52021.596768,CAN
Canada,1995,1984.944,78.1,52021.596768,CAN
Canada,1996,1999.778,78.3,52021.596768,CAN
Canada,1997,2091.997,78.5,52021.596768,CAN
Canada,1998,2200.468,78.7,52021.596768,CAN
Canada,1999,2278.254,78.9,52021.596768,CAN
Canada,2000,2450.593,79.3,52021.596768,CAN
Canada,2001,2624.293,79.5,52021.596768,CAN
Canada,2002,2758.065,79.6,52021.596768,CAN
Canada,2003,2914.206,79.8,52021.596768,CAN
Canada,2004,3122.396,80.1,52021.596768,CAN
